,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729,score_4027,td_err_4027,score_10069,td_err_10069
0,29,0.0,16,0.0,30,0.0,13,0.0,16,0.0
1,18,0.0,17,0.0,12,0.0,18,0.0,16,0.0
2,9,0.0,39,0.0,17,0.0,53,0.0,14,0.0
3,10,0.0,38,0.0,23,0.0,29,0.0,40,0.0
4,9,0.0,17,0.0,33,0.0,13,0.0,16,0.0
5,14,0.0,39,0.0,11,0.0,11,0.0,50,0.0
6,11,0.0,11,0.0,31,0.0,58,0.0,27,0.0
7,12,0.0,32,0.0,15,0.0,14,0.0,17,0.0
8,58,0.0,14,0.0,90,0.0,15,0.0,29,0.0
9,26,0.0,12,0.0,11,0.0,22,0.0,18,0.0
10,22,0.0,33,0.0,43,1.0,27,0.0,13,0.0
11,19,0.0,17,0.0,33,1.0,20,0.0,13,0.0
12,12,0.0,17,1.0,15,1.0,29,1.0,18,0.0
13,17,0.0,12,1.0,16,1.0,17,1.0,18,1.0
14,32,0.0,18,1.0,31,1.0,12,1.0,29,1.0
15,17,1.0,11,1.0,15,1.0,17,1.0,25,1.0
16,34,1.0,33,1.0,25,1.0,37,1.0,11,1.0
17,13,1.0,27,1.0,23,1.0,37,1.0,13,1.0
18,37,1.0,29,1.0,24,1.0,15,1.0,17,1.0
19,9,1.0,39,1.0,11,1.0,28,1.0,14,1.0
20,15,1.0,15,1.0,20,1.0,26,1.0,11,1.0
21,10,1.0,12,1.0,21,1.0,14,1.0,16,1.0
22,12,1.0,36,1.0,17,1.0,15,1.0,17,1.0
23,21,1.0,24,1.0,18,1.0,15,1.0,19,1.0
24,13,1.0,22,1.0,21,1.0,16,1.0,34,1.0
25,13,1.0,14,1.0,22,1.0,19,1.0,28,1.0
26,13,1.0,12,1.0,19,1.0,12,1.0,34,1.0
27,23,1.0,15,1.0,21,1.0,46,1.0,37,1.0
28,16,1.0,11,1.0,15,1.0,32,1.0,14,1.0
29,16,1.0,18,1.0,22,1.0,18,1.0,15,1.0
30,20,1.0,21,1.0,13,1.0,22,1.0,14,1.0
31,34,1.0,13,1.0,31,1.0,24,1.0,12,1.0
32,19,1.0,19,1.0,13,1.0,27,1.0,34,1.0
33,28,1.0,15,1.0,20,1.0,12,1.0,32,1.0
34,32,1.0,21,1.0,17,1.0,31,1.0,22,1.0
35,35,1.0,12,1.0,20,1.0,15,1.0,37,1.0
36,12,1.0,14,1.0,21,1.0,16,1.0,16,1.0
37,34,1.0,10,1.0,14,1.0,12,1.0,16,1.0
38,12,1.0,14,1.0,14,1.0,9,1.0,16,1.0
39,38,1.0,33,1.0,40,1.0,38,1.0,20,1.0
40,45,1.0,12,1.0,37,1.0,13,1.0,44,1.0
41,16,1.0,14,1.0,23,1.0,10,1.0,11,1.0
42,15,1.0,20,1.0,15,1.0,20,1.0,24,1.0
43,21,1.0,14,1.0,16,1.0,17,1.0,30,1.0
44,14,1.0,16,1.0,34,1.0,25,1.0,24,1.0
45,26,1.0,15,1.0,13,1.0,13,1.0,18,1.0
46,21,1.0,13,1.0,24,1.0,14,1.0,40,1.0
47,17,1.0,15,1.0,15,1.0,15,1.0,13,1.0
48,50,1.0,24,1.0,16,1.0,14,1.0,12,1.0
49,16,1.0,24,1.0,12,1.0,16,1.0,14,1.0
50,20,1.0,16,1.0,30,1.0,22,1.0,10,1.0
51,17,1.0,82,1.0,17,1.0,36,1.0,17,1.0
52,10,1.0,27,1.0,16,1.0,14,1.0,28,1.0
53,9,1.0,12,1.0,37,1.0,36,1.0,19,1.0
54,14,1.0,14,1.0,16,1.0,13,1.0,12,1.0
55,15,1.0,17,1.0,22,1.0,10,1.0,14,1.0
56,11,1.0,10,1.0,14,1.0,8,1.0,19,1.0
57,13,1.0,18,1.0,15,1.0,11,1.0,12,1.0
58,15,1.0,15,1.0,19,1.0,13,1.0,17,1.0
59,15,1.0,17,1.0,26,1.0,59,1.0,10,1.0
60,22,1.0,30,1.0,11,1.0,58,1.0,13,1.0
61,40,1.0,13,1.0,11,1.0,21,1.0,15,1.0
62,11,1.0,33,1.0,11,1.0,9,1.0,18,1.0
63,17,1.0,14,1.0,23,1.0,37,1.0,28,1.0
64,31,1.0,14,1.0,18,1.0,10,1.0,9,1.0
65,18,1.0,30,1.0,13,1.0,24,1.0,15,1.0
66,14,1.0,11,1.0,12,1.0,15,1.0,22,1.0
67,19,1.0,20,1.0,15,1.0,9,1.0,31,1.0
68,21,1.0,12,1.0,17,1.0,16,1.0,19,1.0
69,13,1.0,15,1.0,16,1.0,12,1.0,18,1.0
70,17,1.0,15,1.0,18,1.0,12,1.0,19,1.0
71,37,1.0,10,1.0,12,1.0,12,1.0,19,1.0
72,16,1.0,16,1.0,12,1.0,34,1.0,10,1.0
73,10,1.0,10,1.0,12,1.0,18,1.0,11,1.0
74,10,1.0,55,1.0,11,1.0,20,1.0,17,1.0
75,12,1.0,20,1.0,29,1.0,10,1.0,14,1.0
76,28,1.0,15,1.0,10,1.0,17,1.0,17,1.0
77,11,1.0,21,1.0,15,1.0,22,1.0,9,1.0
78,15,1.0,10,1.0,14,1.0,10,1.0,14,1.0
79,18,1.0,13,1.0,14,1.0,24,1.0,13,1.0
80,11,1.0,10,1.0,12,1.0,11,1.0,14,1.0
81,14,1.0,23,1.0,30,1.0,9,1.0,16,1.0
82,18,1.0,10,1.0,15,1.0,24,1.0,19,1.0
83,9,1.0,13,1.0,13,1.0,14,1.0,12,1.0
84,16,1.0,10,1.0,14,1.0,24,1.0,21,1.0
85,14,1.0,15,1.0,13,1.0,11,1.0,23,1.0
86,15,1.0,11,1.0,27,1.0,17,1.0,24,1.0
87,18,1.0,13,1.0,19,1.0,16,1.0,12,1.0
88,17,1.0,16,1.0,18,1.0,18,1.0,27,1.0
89,27,1.0,36,1.0,10,1.0,11,1.0,14,1.0
90,14,1.0,57,1.0,12,1.0,13,1.0,9,1.0
91,13,1.0,21,1.0,11,1.0,19,1.0,9,1.0
92,12,1.0,12,1.0,10,1.0,18,1.0,9,1.0
93,18,1.0,15,1.0,8,1.0,15,1.0,14,1.0
94,16,1.0,15,1.0,14,1.0,16,1.0,28,1.0
95,22,1.0,14,1.0,14,1.0,22,1.0,19,1.0
96,18,1.0,25,1.0,9,1.0,13,1.0,11,1.0
97,12,1.0,10,1.0,9,1.0,28,1.0,11,1.0
98,12,1.0,13,1.0,14,1.0,9,1.0,22,1.0
99,11,1.0,10,1.0,15,1.0,14,1.0,11,1.0
100,12,1.0,10,1.0,21,1.0,11,1.0,12,1.0
101,11,1.0,12,1.0,13,1.0,14,1.0,10,1.0
102,25,1.0,14,1.0,11,1.0,13,1.0,17,1.0
103,10,1.0,29,1.0,12,1.0,9,1.0,13,1.0
104,10,1.0,12,1.0,13,1.0,12,1.0,10,1.0
105,10,1.0,9,1.0,26,1.0,10,1.0,10,1.0
106,12,1.0,13,1.0,13,1.0,12,1.0,13,1.0
