,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729
0,18,0.0,51,0.0,36,0.0
1,27,0.0,45,0.0,20,0.0
2,11,0.0,24,0.0,20,0.0
3,11,0.0,14,0.0,17,0.0
4,11,0.0,35,0.0,14,0.0
5,15,0.0,35,0.0,47,0.0
6,17,0.0,26,0.0,14,0.0
7,26,0.0,65,1.0,29,0.0
8,14,0.0,19,1.0,10,0.0
9,22,0.0,14,1.0,12,0.0
10,23,0.0,15,1.0,25,0.0
11,35,0.0,82,1.0,39,1.0
12,22,1.0,13,1.0,14,1.0
13,51,1.0,14,1.0,16,1.0
14,12,1.0,27,1.0,12,1.0
15,23,1.0,21,1.0,16,1.0
16,51,1.0,10,1.0,22,1.0
17,22,1.0,17,1.0,13,1.0
18,10,1.0,13,1.0,24,1.0
19,36,1.0,35,1.0,22,1.0
20,21,1.0,16,1.0,37,1.0
21,14,1.0,12,1.0,18,1.0
22,33,1.0,20,1.0,15,1.0
23,26,1.0,11,1.0,17,1.0
24,62,1.0,15,1.0,25,1.0
25,35,1.0,28,1.0,23,1.0
26,36,1.0,50,1.0,27,1.0
27,12,1.0,24,1.0,21,1.0
28,17,1.0,28,1.0,27,1.0
29,14,1.0,31,1.0,63,1.0
30,17,1.0,17,1.0,26,1.0
31,16,1.0,21,1.0,16,1.0
32,14,1.0,9,1.0,11,1.0
33,32,1.0,81,1.0,15,1.0
34,26,1.0,36,1.0,26,1.0
35,16,1.0,19,1.0,34,1.0
36,19,1.0,11,1.0,11,1.0
37,68,1.0,10,1.0079682534683323,14,1.0
38,21,1.0,14,1.0411532067856297,36,1.0
39,13,1.0,14,1.0295630140987,22,0.997997995989972
40,41,1.0,14,1.069579356569675,26,1.0714476188783097
41,20,1.0,25,1.069579356569675,19,1.1117553687749837
42,23,1.0,16,1.0936178491593853,33,1.140175425099138
43,12,1.0,20,1.186591757935306,27,1.1558546621439911
44,39,1.0,10,1.3505554412907306,36,1.1781341180018512
45,13,1.0,16,1.2505998560690785,38,1.1349008767288886
46,21,1.0178408519999578,17,1.2680693987317886,28,1.1523888232710346
47,14,1.0139033484509261,20,1.453272169966796,15,1.1832159566199232
48,29,1.0392304845413265,17,1.5099668870541498,31,1.1696153213770757
49,12,1.065833007557938,13,1.6709278859364338,14,1.147170431975999
50,19,1.0862780491200215,66,1.7481418706729726,16,1.2116104984688767
51,12,1.1349008767288886,26,1.998999749874922,33,1.2505998560690785
52,17,1.2116104984688767,27,1.760681686165901,23,1.33566462856512
53,11,1.2569805089976536,12,1.9534584715319647,50,1.3899640283115242
54,11,1.329661611087573,14,2.1118712081942874,12,1.3190905958272918
55,11,1.3769531582446803,39,2.52744930710786,20,1.398570698963767
56,15,1.4268847185389575,26,2.6788057040405153,28,1.5811388300841898
57,43,1.354990774876346,21,2.048414020651099,16,1.8514858897652988
58,15,1.6297239029970692,24,2.125088233462319,36,2.0287927444665215
59,26,1.634625339336204,41,2.1042813500100217,20,1.8143869488066762
60,24,1.744706279005151,14,2.001999000998752,14,2.055237212586421
61,26,1.9555050498528506,36,2.3091123835794565,17,2.145693361130616
62,27,2.055237212586421,21,2.365586608010791,26,2.3366642891095846
63,31,2.0474374227311563,10,2.3790754506740637,27,2.328948260481542
64,20,2.08806130178211,33,2.56593063039514,27,2.4811287753762397
65,11,2.27771815640127,15,2.8642625577973817,18,2.6434825514839324
66,17,2.6892378102354577,20,2.816380656090366,33,2.4979991993593593
67,19,2.4091492274244866,29,2.7770487932335652,23,2.6487733009829286
68,29,2.669831455354439,12,2.975231083462258,11,2.778488797889961
69,25,2.3469128658729534,32,3.013967484894288,20,3.02456608458139
70,13,2.5526456863419176,14,3.044995894906921,34,2.8879058156387303
71,17,2.337520053389917,44,3.2784142508231016,19,2.792131802046601
72,12,2.7560841786854042,39,3.274751898999373,15,2.650283003756391
73,26,3.3268603818014366,16,2.853769437077915,20,3.023243291566195
74,13,2.98261630116916,15,2.770559510279467,39,3.0880414504990052
75,29,3.596665122026236,15,2.9120439557122073,12,2.9024127893874776
76,12,4.0880313110346895,25,3.2905926517878203,21,3.059411708155671
77,17,3.391164991562634,33,3.021258016125071,31,2.6366645596283194
78,15,3.343052497344306,29,2.889982698910151,21,3.184964677983101
79,15,3.1311339798865205,12,2.834783942384322,26,2.968501305372797
80,15,3.00266548253381,13,2.709981549752692,59,2.7597101297056543
81,14,2.757535131235865,11,2.554212207315594,29,2.786395521098898
82,22,3.0983866769659336,27,2.635147054720097,58,3.02787053884409
83,18,3.302726146685492,15,3.3226495451672298,33,3.02787053884409
84,22,3.420526275297414,27,3.5389263908705417,27,3.1445190411253674
85,13,3.526471324142591,14,3.7640403823551094,12,2.817800560721074
86,16,3.1432467291003423,19,3.3639262774323697,13,2.8298409849318387
87,62,3.4831020656879983,14,3.1572139617073787,25,2.6517918470347555
88,12,3.3226495451672298,12,3.3472376670920756,25,2.8481572990268638
89,17,3.5383612025908264,24,3.5592133962436137,15,2.7129319932501073
90,39,2.9899832775452104,34,3.635381685600564,41,3.0938648968563576
91,33,3.095157508108432,19,3.0893364983439406,11,3.574353088322417
92,12,3.3009089657244415,13,2.882360144048623,27,2.903790626061046
93,27,2.929846412356798,26,3.421695486158872,44,3.5065652710308988
94,22,3.1228192390850933,12,3.394701754204631,11,3.6199447509596054
95,24,2.9819456735494025,14,3.3286633954186478,15,3.5564026768632373
96,20,2.7828043409481737,18,3.727733896082176,17,3.782591704109763
97,17,2.7799280566230484,22,3.5304390661785967,15,3.749133233162033
98,15,2.8774989139876315,16,2.8872131892189743,17,3.627671429443411
99,51,3.544573317058063,32,2.792848008753788,43,3.859533650585262
