,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729,score_4027,td_err_4027,score_10069,td_err_10069
0,18,0.0,14,0.0,31,0.0,40,0.0,15,0.0
1,24,0.0,15,0.0,14,0.0,21,0.0,23,0.0
2,10,0.0,18,0.0,12,0.0,15,0.0,19,0.0
3,15,0.0,35,0.0,14,0.0,55,0.0,19,0.0
4,11,0.0,15,0.0,32,0.0,61,0.0,17,0.0
5,14,0.0,25,0.0,34,0.0,14,0.0,21,0.0
6,16,0.0,16,0.0,9,0.0,22,0.0,14,0.0
7,12,0.0,18,0.0,18,0.0,17,0.0,16,0.0
8,48,0.0,13,0.0,30,0.0,21,0.0,53,0.0
9,17,0.0,35,0.0,25,0.0,27,0.0,33,0.0
10,23,0.0,25,0.0,17,0.0,42,1.0,30,0.0
11,43,0.0,17,0.0,12,0.0,25,1.0,13,0.0
12,25,0.0,29,0.0,18,0.0,17,1.0,10,0.0
13,23,0.0,12,0.0,12,0.0,20,1.0,15,0.0
14,54,1.0,17,1.0,19,0.0,20,1.0,13,1.0
15,21,1.0,22,1.0,33,1.0,18,1.0,20,1.0
16,11,1.0,19,1.0,69,1.0,14,1.0,24,1.0
17,13,1.0,15,1.0,19,1.0,20,1.0,16,1.0
18,11,1.0,12,1.0,27,1.0,32,1.0,16,1.0
19,49,1.0,22,1.0,25,1.0,13,1.0,12,1.0
20,35,1.0,24,1.0,15,1.0,33,1.0,11,1.0
21,16,1.0,18,1.0,17,1.0,15,1.0,14,1.0
22,42,1.0,15,1.0,28,1.0,15,1.0,37,1.0
23,24,1.0,38,1.0,16,1.0,23,1.0,19,1.0
24,25,1.0,16,1.0,12,1.0,42,1.0,12,1.0
25,15,1.0,43,1.0,9,1.0,19,1.0,22,1.0
26,73,1.0,18,1.0,21,1.0,23,1.0,40,1.0
27,32,1.0,13,1.0,14,1.0,21,1.0,10,1.0
28,31,1.0,21,1.0,27,1.0,21,1.0,32,1.0
29,14,1.0,15,1.0,20,1.0,15,1.0,14,1.0
30,24,1.0,20,1.0,14,1.0,47,1.0,10,1.0
31,15,1.0,23,1.0,16,1.0,19,1.0,26,1.0
32,20,1.0,22,1.0,20,1.0,18,1.0,31,1.0
33,10,1.0,38,1.0,18,1.0,16,1.0,26,1.0
34,17,1.0,19,1.0,11,1.0,21,1.0,9,1.0
35,14,1.0,18,1.0,32,1.0,20,1.0,16,1.0
36,39,1.0,17,1.0,26,1.0,17,1.0,26,1.0
37,9,1.0,21,1.0,13,1.0,20,1.0,20,1.0
38,18,1.0,12,1.0,25,1.0,15,1.0,16,1.0
39,25,1.0,13,1.0,66,1.0,21,1.0,27,1.0
40,22,1.0,13,1.0,58,1.0,21,1.0,19,1.0
41,21,1.0,35,1.0,27,1.0,52,1.0,22,1.0
42,24,1.0,38,1.0,12,1.0,12,1.0,14,1.0
43,25,1.0,34,1.0,13,1.0,36,1.0,25,1.0
44,24,1.0,19,1.0,13,1.0,20,1.0,17,1.0
45,46,1.0,48,1.0,29,1.0,48,1.0,13,1.0
46,13,1.0,12,1.0,14,1.0,24,1.0,24,1.0
47,13,1.0,20,1.0,18,1.0,20,1.0,17,1.0
48,28,1.0,24,1.0,17,1.0,15,1.0,11,1.0
49,16,1.0,23,1.0,33,1.0,14,1.0,29,1.0
50,31,1.0,48,1.0,21,1.0,43,1.0,16,1.0
51,34,1.0,19,1.0,24,1.0,24,1.0,28,1.0
52,20,1.0,41,1.0,50,1.0,52,1.0,27,1.0
53,19,1.0,12,1.0,20,1.0,11,1.0,14,1.0
54,20,1.0,33,1.0,12,1.0,15,1.0,51,1.0
55,19,1.0,13,1.0,13,1.0,10,1.0,13,1.0
56,25,1.0,12,1.0,17,1.0,14,1.0,22,1.0
57,14,1.0,17,1.0,20,1.0,36,1.0,9,1.0
58,13,1.0,42,1.0,19,1.0,55,1.0,26,1.0
59,10,1.0,47,1.0,15,1.0,24,1.0,25,1.0
60,10,1.0,16,1.0,13,1.0,23,1.0,26,1.0
61,16,1.0,16,1.0,16,1.0,17,1.0,16,1.0
62,24,1.0,12,1.0,10,1.0,12,1.0,30,1.0
63,14,1.0,12,1.0,31,1.0,31,1.0,16,1.0
64,19,1.0,13,1.0,11,1.0,20,1.0,17,1.0
65,31,1.0,22,1.0,23,1.0,19,1.0,25,1.0
66,21,1.0,24,1.0,13,1.0,29,1.0,28,1.0
67,15,1.0,14,1.0,64,1.0,17,1.0,25,1.0
68,11,1.0,15,1.0,16,1.0,15,1.0,16,1.0
69,26,1.0,17,1.0,11,1.0,24,1.0,29,1.0
70,14,1.0,26,1.0,11,1.0,37,1.0,11,1.0
71,25,1.0,23,1.0,19,1.0,10,1.0,16,1.0
72,15,1.0,19,1.0,21,1.0,18,1.0,27,1.0
73,48,1.0,27,1.0,10,1.0,14,1.0,14,1.0
74,16,1.0,16,1.0,15,1.0,11,1.0,35,1.0
75,11,1.0,25,1.0,29,1.0,13,1.0,14,1.0
76,12,1.0,11,1.0,14,1.0,12,1.0,15,1.0
77,46,1.0,9,1.0,15,1.0,10,1.0,38,1.0
78,27,1.0,30,1.0,35,1.0,31,1.0,17,1.0
79,10,1.0,13,1.0,45,1.0,22,1.0,22,1.0
80,24,1.0,38,1.0,18,1.0,18,1.0,29,1.0
81,26,1.0,11,1.0,16,1.0,11,1.0,65,1.0
82,16,1.0,12,1.0,23,1.0,49,1.0,35,1.0
83,29,1.0,15,1.0,15,1.0,11,1.0,18,1.0
84,15,1.0,14,1.0,10,1.0,22,1.0,24,1.0
85,23,1.0,28,1.0,76,1.0,11,1.0,19,1.0
86,16,1.0,16,1.0,12,1.0,13,1.0,22,1.0
87,11,1.0,13,1.0,16,1.0,11,1.0,20,1.0
88,10,1.0,10,1.0,15,1.0,23,1.0,25,1.0
89,22,1.0,12,1.0,10,1.0,17,1.0,36,1.0
90,9,1.0,21,1.0,24,1.0,17,1.0,16,1.0
91,14,1.0,13,1.0,16,1.0,16,1.0,19,1.0
92,16,1.0,15,1.0,19,1.0,27,1.0,69,1.0
93,13,1.0,30,1.0,22,1.0,11,1.0,19,1.0
94,25,1.0,11,1.0,41,1.0,31,1.0,12,1.0
95,22,1.0,28,1.0,13,1.0,31,1.0,16,1.0
96,16,1.0,21,1.0,10,1.0,16,1.0,11,1.0
97,10,1.0,15,1.0,21,1.0,11,1.0,11,1.0
98,34,1.0,11,1.0,18,1.0,13,1.0,14,1.0
99,19,1.0,21,1.0,11,1.0,13,1.0,20,1.0
100,12,1.0,11,1.0,20,1.0,17,1.0,13,1.0
101,13,1.0,12,1.0,12,1.0,9,1.0,9,1.0
102,19,1.0,10,1.0,11,1.0,17,1.0,26,1.0
103,14,1.0,23,1.0,11,1.0,16,1.0,18,1.0
104,29,1.0,22,1.0,10,1.0,13,1.0,12,1.0
105,11,1.0,14,1.0,13,1.0,12,1.0,10,1.0
106,17,1.0,9,1.0,17,1.0,12,1.0,16,1.0
107,8,1.0,10,1.0,18,1.0,15,1.0,12,1.0
108,23,1.0,10,1.0,10,1.0,11,1.0,10,1.0
109,19,1.0,13,1.0,12,1.0,20,1.0,10,1.0
110,13,1.0,11,1.0,16,1.0,20,1.0,10,1.0
111,15,1.0,14,1.0,9,1.0,9,1.0,10,1.0
112,12,1.0,9,1.0,12,1.0,12,1.0,13,1.0
113,14,1.0,18,1.0,13,1.0,11,1.0,14,1.0
114,9,1.0,9,1.0,11,1.0,22,1.0,11,1.0
115,14,1.0,9,1.0,16,1.0,8,1.0,10,1.0
116,13,1.0,9,1.0,14,1.0,9,1.0,9,1.0
117,16,1.0,24,1.0,9,1.0,10,1.0,17,1.0
118,9,1.0,10,1.0,10,1.0,21,1.0,12,1.0
119,9,1.0,10,1.0,11,1.0,19,1.0,13,1.0
120,11,1.0,17,1.0,10,1.0,9,1.0,12,1.0
121,11,1.0,13,1.0,17,1.0,10,1.0,16,1.0
122,10,1.0,8,1.0,11,1.0,9,1.0,10,1.0
123,9,1.0,10,1.0,9,1.0,14,1.0,10,1.0
124,9,1.0,9,1.0,14,1.0,9,1.0,12,1.0
125,12,1.0,10,1.0,10,1.0,10,1.0,11,1.0
126,12,1.0,12,1.0,11,1.0,10,1.0,11,1.0
127,9,1.0,11,1.0,10,1.0,11,1.0,10,1.0
128,10,1.0,9,1.0,10,1.0,10,1.0,10,1.0
129,11,1.0,8,1.0,12,1.0,13,1.0,9,1.0
130,15,1.0,9,1.0,9,1.0,11,1.0,11,1.0
131,10,1.0,11,1.0,10,1.0,11,1.0,11,1.0
132,10,1.0,10,1.0,11,1.0,10,1.0,11,1.0
133,11,1.0,9,1.0,9,1.0,9,1.0,9,1.0
134,10,1.0,10,1.0,10,1.0,9,1.0,10,1.0
135,9,1.0,9,1.0,8,1.0,9,1.0,9,1.0
136,10,1.0,10,1.0,12,1.0,9,1.0,9,1.0
137,8,1.0,10,1.0,9,1.0,9,1.0,11,1.0
138,9,1.0,10,1.0,9,1.0,8,1.0,9,1.0
139,9,1.0,10,1.0,10,1.0,10,1.0,9,1.0
140,8,1.0,9,1.0,10,1.0,8,1.0,9,1.0
