,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729,score_4027,td_err_4027,score_10069,td_err_10069
98,12,1.0,11,1.0,12,1.0,13,1.0,9,1.0
99,8,1.0,15,1.0,10,1.0,23,1.0,12,1.0
100,15,1.0,9,1.0,12,1.0,13,1.0,12,1.0
101,20,1.0,11,1.0,19,1.0,12,1.0,11,1.0
102,18,1.0,12,1.0,12,1.0,16,1.0,11,1.0
103,11,1.0,12,1.0,18,1.0,14,1.0,11,1.0
104,10,1.0,16,1.0,10,1.0,14,1.0,8,1.0
105,9,1.0,11,1.0,12,1.0,9,1.0,18,1.0
106,11,1.0,12,1.0,9,1.0,9,1.0,9,1.0
107,9,1.0,9,1.0,11,1.0,14,1.0,11,1.0
108,22,1.0,11,1.0,10,1.0,11,1.0,11,1.0
109,15,1.0,17,1.0,9,1.0,16,1.0,10,1.0
110,9,1.0,13,1.0,12,1.0,11,1.0,10,1.0
111,13,1.0,12,1.0,10,1.0,29,1.0,15,1.0
112,12,1.0,12,1.0,10,1.0,14,1.0,13,1.0
113,12,1.0,10,1.0,19,1.0,12,1.0,15,1.0
114,13,1.0,14,1.0,16,1.0,11,1.0,10,1.0
115,10,1.0,13,1.0,9,1.0,9,1.0,11,1.0
116,14,1.0,9,1.0,11,1.0,9,1.0,9,1.0
117,16,1.0,9,1.0,14,1.0,13,1.0,10,1.0
118,12,1.0,10,1.0,9,1.0,10,1.0,8,1.0
119,12,1.0,10,1.0,10,1.0,13,1.0,11,1.0
120,11,1.0,9,1.0,10,1.0,17,1.0,9,1.0
121,10,1.0,9,1.0,13,1.0,11,1.0,9,1.0
122,9,1.0,10,1.0,11,1.0,8,1.0,15,1.0
123,11,1.0,11,1.0,12,1.0,13,1.0,9,1.0
124,14,1.0,10,1.0,9,1.0,10,1.0,15,1.0
125,12,1.0,9,1.0,10,1.0,12,1.0,10,1.0
126,11,1.0,14,1.0,9,1.0,9,1.0,11,1.0
127,17,1.0,12,1.0,13,1.0,13,1.0,10,1.0
128,11,1.0,14,1.0,8,1.0,8,1.0,17,1.0
129,13,1.0,12,1.0,15,1.0,12,1.0,10,1.0
130,11,1.0,13,1.0,12,1.0,13,1.0,15,1.0
131,11,1.0,9,1.0,11,1.0,10,1.0,16,1.0
132,11,1.0,10,1.0,10,1.0,12,1.0,9,1.0
133,11,1.0,9,1.0,11,1.0,11,1.0,10,1.0
134,9,1.0,11,1.0,12,1.0,15,1.0,15,1.0
135,8,1.0,14,1.0,15,1.0,12,1.0,18,1.0
136,10,1.0,12,1.0,11,1.0,14,1.0,12,1.0
137,22,1.0,17,1.0,12,1.0,15,1.0,9,1.0
138,9,1.0,13,1.0,11,1.0,10,1.0,10,1.0
139,10,1.0,12,1.0,10,1.0,10,1.0,10,1.0
140,10,1.0,10,1.0,10,1.0,10,1.0,14,1.0
141,10,1.0,10,1.0,10,1.0,9,1.0,12,1.0
142,9,1.0,11,1.0,10,1.0,11,1.0,9,1.0
143,10,1.0,9,1.0,10,1.0,8,1.0,15,1.0
144,8,1.0,9,1.0,10,1.0,10,1.0,9,1.0
145,11,1.0,8,1.0,10,1.0,10,1.0,10,1.0
146,9,1.0,14,1.0,9,1.0,14,1.0,10,1.0
147,10,1.0,10,1.0,12,1.0,20,1.0,9,1.0
148,8,1.0,8,1.0,10,1.0,10,1.0,8,1.0
149,13,1.0,9,1.0,14,1.0,10,1.0,8,1.0
150,11,1.0,11,1.0,11,1.0,10,1.0,10,1.0
151,11,1.0,10,1.0,10,1.0,10,1.0,10,1.0
152,13,1.0,11,1.0,13,1.0,8,1.0,9,1.0
153,9,1.0,9,1.0,10,1.0,10,1.0,9,1.0
154,10,1.0,10,1.0,10,1.0,9,1.0,11,1.0
155,10,1.0,10,1.0,12,1.0,10,1.0,11,1.0
156,10,1.0,10,1.0,9,1.0,10,1.0,9,1.0
157,11,1.0,12,1.0,11,1.0,12,1.0,9,1.0
158,9,1.0,10,1.0,9,1.0,13,1.0,9,1.0
159,10,1.0,10,1.0,9,1.0,10,1.0,10,1.0
160,11,1.0,13,1.0,11,1.0,9,1.0,9,1.0
161,10,1.0,10,1.0,10,1.0,9,1.0,10,1.0
162,10,1.0,9,1.0,9,1.0,9,1.0,10,1.0
163,9,1.0,9,1.0,11,1.0,10,1.0,10,1.0
164,8,1.0,10,1.0,8,1.0,10,1.0,9,1.0
165,12,1.0,15,1.0,9,1.0,9,1.0,10,1.0
166,9,1.0,9,1.0,10,1.0,12,1.0,10,1.0
167,9,1.0,8,1.0,10,1.0,10,1.0,9,1.0
168,9,1.0,8,1.0,10,1.0,9,1.0,10,1.0
169,10,1.0,9,1.0,11,1.0,9,1.0,10,1.0
170,10,1.0,8,1.0,10,1.0,10,1.0,9,1.0
171,11,1.0,9,1.0,9,1.0,10,1.0,8,1.0
172,10,1.0,9,1.0,10,1.0,9,1.0,10,1.0
173,9,1.0,9,1.0,12,1.0,10,1.0,10,1.0
174,12,1.0,9,1.0,9,1.0,8,1.0,10,1.0
175,9,1.0,9,1.0,11,1.0,10,1.0,9,1.0
176,10,1.0,9,1.0,11,1.0,10,1.0,10,1.0
177,8,1.0,10,1.0,9,1.0,9,1.0,10,1.0
178,9,1.0,8,1.0,9,1.0,9,1.0,9,1.0
179,9,1.0,9,1.0,9,1.0,10,1.0,9,1.0
180,8,1.0,8,1.0,9,1.0,11,1.0,9,1.0
181,9,1.0,9,1.0,10,1.0,9,1.0,9,1.0
182,9,1.0,9,1.0,9,1.0,8,1.0,10,1.0
183,8,1.0,9,1.0,11,1.0,10,1.0,10,1.0
184,8,1.0,9,1.0,8,1.0,10,1.0,11,1.0
185,9,1.0,9,1.0,9,1.0,9,1.0,9,1.0
186,8,1.0,10,1.0,9,1.0,8,1.0,10,1.0
187,10,1.0,10,1.0,9,1.0,8,1.0,10,1.0
188,9,1.0,10,1.0,9,1.0,10,1.0,10,1.0
189,10,1.0,8,1.0,9,1.0,9,1.0,9,1.0
190,11,1.0,9,1.0,9,1.0,10,1.0,9,1.0
191,9,1.0,9,1.0,9,1.0,9,1.0,9,1.0
192,10,1.0,9,1.0,9,1.0,9,1.0,10,1.0
193,10,1.0,8,1.0,10,1.0,9,1.0,10,1.0
194,10,1.0,9,1.0,11,1.0,10,1.0,9,1.0
195,9,1.0,9,1.0,9,1.0,11,1.0,10,1.0
196,10,1.0,9,1.0,9,1.0,9,1.0,9,1.0
197,9,1.0,10,1.0,10,1.0,9,1.0,10,1.0
198,9,1.0,9,1.0,9,1.0,10,1.0,10,1.0
199,9,1.0,10,1.0,10,1.0,9,1.0,9,1.0
200,10,1.0,9,1.0,10,1.0,10,1.0,9,1.0
201,10,1.0,10,1.0,9,1.0,9,1.0,10,1.0
202,9,1.0,9,1.0,8,1.0,10,1.0,10,1.0
203,10,1.0,10,1.0,8,1.0,10,1.0,10,1.0
204,9,1.0,9,1.0,10,1.0,9,1.0,10,1.0
205,10,1.0,9,1.0,9,1.0,9,1.0,10,1.0
206,10,1.0,9,1.0,10,1.0,9,1.0,9,1.0
207,10,1.0,10,1.0,10,1.0,10,1.0,9,1.0
208,10,1.0,9,1.0,9,1.0,9,1.0,9,1.0
209,9,1.0,10,1.0,10,1.0,10,1.0,10,1.0
210,10,1.0,10,1.0,8,1.0,10,1.0,10,1.0
211,10,1.0,8,1.0,9,1.0,9,1.0,9,1.0
212,10,1.0,9,1.0,11,1.0,10,1.0,10,1.0
213,10,1.0,10,1.0,10,1.0,9,1.0,12,1.0
214,8,1.0,9,1.0,9,1.0,8,1.0,11,1.0
215,9,1.0,9,1.0,9,1.0,10,1.0,10,1.0
216,10,1.0,11,1.0,9,1.0,10,1.0,10,1.0
217,10,1.0,10,1.0,12,1.0,9,1.0,9,1.0
218,10,1.0,10,1.0,9,1.0,9,1.0,9,1.0
219,9,1.0,10,1.0,8,1.0,10,1.0,10,1.0
220,10,1.0,9,1.0,9,1.0,10,1.0,10,1.0
221,10,1.0,9,1.0,10,1.0,9,1.0,10,1.0
222,9,1.0,8,1.0,10,1.0,10,1.0,10,1.0
223,9,1.0,9,1.0,9,1.0,8,1.0,10,1.0
224,9,1.0,9,1.0,10,1.0,8,1.0,10,1.0
225,8,1.0,8,1.0,9,1.0,9,1.0,9,1.0
226,10,1.0,10,1.0,10,1.0,9,1.0,10,1.0
227,9,1.0,10,1.0,9,1.0,9,1.0,11,1.0
228,9,1.0,10,1.0,10,1.0,9,1.0,10,1.0
229,10,1.0,9,1.0,8,1.0,9,1.0,9,1.0
230,9,1.0,8,1.0,10,1.0,10,1.0,9,1.0
231,8,1.0,9,1.0,9,1.0,9,1.0,9,1.0
232,10,1.0,9,1.0,8,1.0,9,1.0,11,1.0
233,9,1.0,10,1.0,9,1.0,9,1.0,11,1.0
234,9,1.0,8,1.0,10,1.0,10,1.0,9,1.0
235,9,1.0,8,1.0,9,1.0,8,1.0,10,1.0
236,9,1.0,9,1.0,9,1.0,9,1.0,10,1.0
237,8,1.0,9,1.0,9,1.0,10,1.0,10,1.0
238,10,1.0,10,1.0,10,1.0,9,1.0,9,1.0
239,9,1.0,10,1.0,10,1.0,10,1.0,10,1.0
240,8,1.0,10,1.0,10,1.0,9,1.0,9,1.0
241,10,1.0,8,1.0,10,1.0,9,1.0,8,1.0
242,10,1.0,9,1.0,9,1.0,9,1.0,10,1.0
243,10,1.0,10,1.0,10,1.0,10,1.0,9,1.0
244,9,1.0,9,1.0,10,1.0,10,1.0,10,1.0
245,9,1.0,10,1.0,9,1.0,10,1.0,11,1.0
246,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0
247,10,1.0,10,1.0,10,1.0,10,1.0,9,1.0
248,10,1.0,9,1.0,10,1.0,9,1.0,9,1.0
249,9,1.0,8,1.0,10,1.0,10,1.0,9,1.0
250,11,1.0,10,1.0,11,1.0,9,1.0,10,1.0
251,9,1.0,9,1.0,10,1.0,9,1.0,9,1.0
252,9,1.0,10,1.0,8,1.0,10,1.0,9,1.0
253,9,1.0,10,1.0,9,1.0,10,1.0,9,1.0
254,8,1.0,8,1.0,9,1.0,8,1.0,10,1.0
255,9,1.0,10,1.0,9,1.0,10,1.0,10,1.0
256,10,1.0,9,1.0,8,1.0,8,1.0,10,1.0
257,10,1.0,9,1.0,8,1.0,10,1.0,9,1.0
258,9,1.0,10,1.0,10,1.0,9,1.0,10,1.0
259,8,1.0,9,1.0,9,1.0,10,1.0,9,1.0
260,10,1.0,10,1.0,10,1.0,9,1.0,10,1.0
261,9,1.0,10,1.0,10,1.0,9,1.0,9,1.0
262,10,1.0,10,1.0,8,1.0,9,1.0,10,1.0
263,10,1.0,10,1.0,9,1.0,10,1.0,9,1.0
264,9,1.0,8,1.0,9,1.0,9,1.0,8,1.0
265,10,1.0,8,1.0,9,1.0,10,1.0,10,1.0
266,9,1.0,8,1.0,10,1.0,9,1.0,8,1.0
267,8,1.0,10,1.0,10,1.0,10,1.0,8,1.0
268,10,1.0,9,1.0,10,1.0,10,1.0,10,1.0
269,11,1.0,9,1.0,10,1.0,10,1.0,9,1.0
270,9,1.0,10,1.0,10,1.0,8,1.0,9,1.0
271,10,1.0,8,1.0,10,1.0,9,1.0,9,1.0
272,9,1.0,10,1.0,9,1.0,9,1.0,9,1.0
273,9,1.0,10,1.0,11,1.0,10,1.0,8,1.0
274,9,1.0,9,1.0,8,1.0,9,1.0,9,1.0
275,10,1.0,8,1.0,11,1.0,10,1.0,9,1.0
276,11,1.0,10,1.0,9,1.0,10,1.0,9,1.0
277,8,1.0,9,1.0,9,1.0,10,1.0,10,1.0
278,9,1.0,9,1.0,10,1.0,10,1.0,10,1.0
279,9,1.0,9,1.0,9,1.0,8,1.0,9,1.0
280,10,1.0,9,1.0,9,1.0,10,1.0,10,1.0
281,10,1.0,10,1.0,10,1.0,9,1.0,10,1.0
