,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729
0,28,1.0,27,1.0,35,1.0
1,13,1.0,17,1.0,32,1.0
2,27,1.0,12,1.0,25,1.0
3,29,1.0,15,1.0,20,1.0
4,36,1.0,25,1.0,19,1.0
5,13,1.0,12,1.0,37,1.0
6,15,1.0,17,1.0,15,1.0
7,41,1.0,29,1.0,67,1.0
8,16,1.0,15,1.0,25,1.0
9,11,1.0,17,1.0,16,1.0
10,12,1.0,17,1.0,32,1.0
11,14,1.0,12,1.0,31,1.0
12,13,1.0,49,1.0,9,1.0
13,13,1.0,17,1.0,26,1.0
14,20,1.0,18,1.0,16,1.0
15,14,1.0,28,1.0,12,1.0
16,26,1.0,12,1.0,48,1.0
17,17,1.0,20,1.0,15,1.0
18,17,1.0,33,1.0,10,1.0
19,22,1.0,24,1.0,25,1.0
20,11,1.0,16,1.0,28,1.0
21,12,1.0,22,1.0,19,1.0
22,28,1.0,11,1.0,19,1.0
23,38,1.0,28,1.0,14,1.0
24,21,1.0,43,1.0,10,1.0
25,16,1.0,16,1.0,38,1.0
26,13,1.0,22,1.0,15,1.0
27,21,1.0,12,1.0,12,1.0
28,19,1.0,16,1.0,23,1.0
29,35,1.0,16,1.0,44,1.0
30,9,1.0,21,1.0,22,1.0
31,11,1.0,20,1.0,13,1.0
32,12,1.0,14,1.0,21,1.0
33,28,1.0,62,1.0,11,1.0
34,28,1.0,38,1.0,22,1.0
35,13,1.0,10,1.0,32,1.0
36,22,1.0,13,1.0,14,1.0
37,13,1.0,21,1.0,58,1.0
38,27,1.0,21,1.0,17,1.0
39,14,1.0,34,1.0,14,1.0
40,58,1.0,16,1.0,12,1.0
41,34,1.0,53,1.0,43,1.0
42,39,1.0,11,1.0,30,1.0
43,14,1.0,13,1.0,13,1.0
44,13,1.0,26,1.0,19,1.0
45,19,1.0,10,1.0,19,1.0
46,21,1.0,8,1.0,10,1.0
47,19,1.0,15,1.0,28,1.0
48,14,1.0,20,1.0,14,1.0
49,11,1.0,20,1.0,35,1.0
50,34,1.0,16,1.0,14,1.0
51,16,1.0,10,1.0,38,1.0
52,45,1.0,20,1.0,25,1.0
53,17,1.0,9,1.0,23,1.0
54,45,1.0,20,1.0,9,1.0
55,16,1.0,17,1.0,17,1.0
56,21,1.0,10,1.0,13,1.0
57,32,1.0,18,1.0,12,1.0
58,10,1.0,13,1.0,25,1.0
59,42,1.0,18,1.0,17,1.0
60,18,1.0,13,1.0,10,1.0
61,11,1.0,11,1.0,13,1.0
62,19,1.0,23,1.0,12,1.0
63,13,1.0,24,1.0,18,1.0
64,10,1.0,17,1.0,15,1.0
65,26,1.0,19,1.0,9,1.0
66,19,1.0,8,1.0,12,1.0
67,14,1.0,24,1.0,23,1.0
68,12,1.0,13,1.0,27,1.0
69,11,1.0,30,1.0,14,1.0
70,17,1.0,10,1.0,36,1.0
71,18,1.0,12,1.0,60,1.0
72,23,1.0,17,1.0,14,1.0
73,16,1.0,23,1.0,12,1.0
74,12,1.0,13,1.0,11,1.0
75,13,1.0,10,1.0,8,1.0
76,15,1.0,11,1.0,18,1.0
77,10,1.0,14,1.0,10,1.0
78,34,1.0,16,1.0,17,1.0
79,12,1.0,11,1.0,14,1.0
80,17,1.0,18,1.0,23,1.0
81,9,1.0,28,1.0,11,1.0
82,8,1.0,11,1.0,10,1.0
83,13,1.0,13,1.0,12,1.0
84,8,1.0,17,1.0,11,1.0
85,10,1.0,14,1.0,17,1.0
86,10,1.0,16,1.0,23,1.0
87,18,1.0,10,1.0,12,1.0
88,12,1.0,13,1.0,18,1.0
89,14,1.0,18,1.0,14,1.0
90,10,1.0,12,1.0,10,1.0
91,18,1.0,11,1.0,10,1.0
92,13,1.0,13,1.0,12,1.0
93,25,1.0,14,1.0,15,1.0
94,12,1.0,15,1.0,13,1.0
95,15,1.0,10,1.0,12,1.0
96,26,1.0,17,1.0,12,1.0
97,10,1.0,9,1.0,11,1.0
98,10,1.0,13,1.0,12,1.0
99,11,1.0,11,1.0,16,1.0
100,9,1.0,12,1.0,9,1.0
101,11,1.0,9,1.0,12,1.0
102,13,1.0,14,1.0,11,1.0
103,9,1.0,12,1.0,13,1.0
104,10,1.0,8,1.0,17,1.0
105,9,1.0,9,1.0,14,1.0
106,10,1.0,11,1.0,11,1.0
107,10,1.0,11,1.0,12,1.0
108,11,1.0,11,1.0,10,1.0
109,11,1.0,17,1.0,13,1.0
110,16,1.0,9,1.0,15,1.0
111,11,1.0,11,1.0,10,1.0
112,14,1.0,12,1.0,10,1.0
113,10,1.0,11,1.0,15,1.0
114,14,1.0,13,1.0,10,1.0
115,18,1.0,18,1.0,12,1.0
116,11,1.0,10,1.0,10,1.0
117,9,1.0,10,1.0,10,1.0
118,10,1.0,15,1.0,11,1.0
119,10,1.0,10,1.0,9,1.0
120,10,1.0,14,1.0,10,1.0
121,16,1.0,9,1.0,13,1.0
122,17,1.0,8,1.0,12,1.0
123,11,1.0,15,1.0,11,1.0
124,14,1.0,9,1.0,12,1.0
125,12,1.0,11,1.0,17,1.0
126,9,1.0,11,1.0,15,1.0
127,15,1.0,9,1.0,13,1.0
128,10,1.0,15,1.0,10,1.0
129,10,1.0,10,1.0,10,1.0
130,10,1.0,9,1.0,13,1.0
131,10,1.0,19,1.0,9,1.0
132,13,1.0,12,1.0,16,1.0
133,10,1.0,9,1.0,9,1.0
134,19,1.0,10,1.0,12,1.0
135,13,1.0,12,1.0,10,1.0
136,9,1.0,11,1.0,17,1.0
137,11,1.0,13,1.0,12,1.0
138,8,1.0,15,1.0,10,1.0
139,9,1.0,9,1.0,9,1.0
140,10,1.0,11,1.0,19,1.0
141,9,1.0,16,1.0,9,1.0
142,13,1.0,9,1.0,10,1.0
143,10,1.0,10,1.0,10,1.0
144,11,1.0,13,1.0,9,1.0
145,9,1.0,11,1.0,10,1.0
146,10,1.0,9,1.0,16,1.0
147,11,1.0,9,1.0,10,1.0
148,10,1.0,9,1.0,9,1.0
149,11,1.0,11,1.0,11,1.0
150,11,1.0,11,1.0,9,1.0
151,9,1.0,13,1.0,10,1.0
152,11,1.0,8,1.0,12,1.0
153,13,1.0,9,1.0,9,1.0
154,8,1.0,9,1.0,13,1.0
155,10,1.0,9,1.0,11,1.0
156,11,1.0,11,1.0,10,1.0
157,10,1.0,10,1.0,10,1.0
158,11,1.0,9,1.0,12,1.0
159,13,1.0,9,1.0,9,1.0
160,10,1.0,9,1.0,12,1.0
161,9,1.0,9,1.0,9,1.0
162,10,1.0,10,1.0,9,1.0
163,10,1.0,11,1.0,10,1.0
164,10,1.0,9,1.0,9,1.0
165,8,1.0,10,1.0,10,1.0
166,10,1.0,9,1.0,10,1.0
167,10,1.0,10,1.0,8,1.0
168,9,1.0,9,1.0,10,1.0
169,11,1.0,11,1.0,11,1.0
170,9,1.0,10,1.0,10,1.0
171,10,1.0,10,1.0,9,1.0
172,11,1.0,11,1.0,9,1.0
173,13,1.0,9,1.0,10,1.0
174,10,1.0,9,1.0,9,1.0
175,9,1.0,9,1.0,13,1.0
176,10,1.0,10,1.0,9,1.0
177,9,1.0,9,1.0,9,1.0
178,11,1.0,12,1.0,12,1.0
179,9,1.0,10,1.0,10,1.0
180,9,1.0,10,1.0,9,1.0
181,9,1.0,10,1.0,10,1.0
182,8,1.0,9,1.0,10,1.0
183,11,1.0,10,1.0,10,1.0
184,10,1.0,10,1.0,13,1.0
185,10,1.0,9,1.0,8,1.0
186,10,1.0,9,1.0,10,1.0
187,9,1.0,11,1.0,10,1.0
188,10,1.0,9,1.0,9,1.0
189,10,1.0,8,1.0,9,1.0
190,9,1.0,10,1.0,9,1.0
191,10,1.0,8,1.0,9,1.0
192,10,1.0,10,1.0,11,1.0
193,8,1.0,10,1.0,10,1.0
194,9,1.0,10,1.0,10,1.0
195,9,1.0,10,1.0,8,1.0
196,9,1.0,9,1.0,10,1.0
197,9,1.0,10,1.0,8,1.0
198,10,1.0,9,1.0,9,1.0
199,11,1.0,11,1.0,10,1.0
200,8,1.0,9,1.0,11,1.0
201,9,1.0,10,1.0,8,1.0
202,8,1.0,8,1.0,8,1.0
203,9,1.0,10,1.0,10,1.0
204,9,1.0,11,1.0,9,1.0
205,8,1.0,11,1.0,10,1.0
206,9,1.0,10,1.0,11,1.0
207,9,1.0,10,1.0,9,1.0
208,10,1.0,9,1.0,8,1.0
209,10,1.0,10,1.0,9,1.0
210,8,1.0,9,1.0,9,1.0
211,9,1.0,9,1.0,10,1.0
212,9,1.0,9,1.0,9,1.0
213,10,1.0,9,1.0,9,1.0
214,9,1.0,12,1.0,10,1.0
215,10,1.0,9,1.0,9,1.0
216,10,1.0,9,1.0,9,1.0
217,10,1.0,9,1.0,9,1.0
218,8,1.0,10,1.0,9,1.0
219,9,1.0,9,1.0,9,1.0
220,10,1.0,9,1.0,11,1.0
221,10,1.0,9,1.0,9,1.0
222,9,1.0,9,1.0,9,1.0
223,9,1.0,9,1.0,10,1.0
224,9,1.0,10,1.0,9,1.0
225,9,1.0,10,1.0,10,1.0
226,12,1.0,9,1.0,8,1.0
227,8,1.0,9,1.0,10,1.0
228,9,1.0,9,1.0,9,1.0
229,9,1.0,8,1.0,9,1.0
230,9,1.0,9,1.0,10,1.0
231,10,1.0,10,1.0,10,1.0
232,10,1.0,9,1.0,10,1.0
233,9,1.0,10,1.0,9,1.0
234,9,1.0,10,1.0,9,1.0
235,12,1.0,10,1.0,9,1.0
236,9,1.0,9,1.0,10,1.0
237,8,1.0,10,1.0,9,1.0
238,10,1.0,10,1.0,10,1.0
239,8,1.0,9,1.0,10,1.0
240,10,1.0,10,1.0,8,1.0
241,8,1.0,9,1.0,10,1.0
242,10,1.0,8,1.0,9,1.0
243,10,1.0,10,1.0,10,1.0
244,9,1.0,10,1.0,10,1.0
245,9,1.0,9,1.0,9,1.0
246,9,1.0,9,1.0,10,1.0
247,9,1.0,10,1.0,10,1.0
248,10,1.0,10,1.0,10,1.0
249,10,1.0,9,1.0,10,1.0
250,9,1.0,10,1.0,12,1.0
251,9,1.0,9,1.0,9,1.0
252,10,1.0,9,1.0,9,1.0
253,8,1.0,9,1.0,9,1.0
254,10,1.0,10,1.0,10,1.0
255,8,1.0,8,1.0,9,1.0
256,10,1.0,9,1.0,9,1.0
257,10,1.0,8,1.0,9,1.0
258,15,1.0,12,1.0,8,1.0
259,10,1.0,10,1.0,9,1.0
260,8,1.0,10,1.0,9,1.0
261,9,1.0,9,1.0,9,1.0
262,9,1.0,9,1.0,10,1.0
263,9,1.0,10,1.0,9,1.0
264,9,1.0,9,1.0,9,1.0
265,9,1.0,9,1.0,11,1.0
266,10,1.0,9,1.0,10,1.0
267,10,1.0,10,1.0,10,1.0
268,9,1.0,10,1.0,10,1.0
269,10,1.0,10,1.0,10,1.0
270,10,1.0,9,1.0,9,1.0
271,9,1.0,9,1.0,9,1.0
272,8,1.0,8,1.0,9,1.0
273,11,1.0,8,1.0,10,1.0
274,9,1.0,10,1.0,10,1.0
275,9,1.0,10,1.0,9,1.0
276,10,1.0,10,1.0,9,1.0
277,9,1.0,9,1.0,10,1.0
278,10,1.0,9,1.0,8,1.0
279,9,1.0,10,1.0,9,1.0
280,9,1.0,10,1.0,9,1.0
281,8,1.0,12,1.0,8,1.0
282,10,1.0,8,1.0,10,1.0
283,11,1.0,9,1.0,10,1.0
284,10,1.0,10,1.0,10,1.0
285,11,1.0,9,1.0,9,1.0
286,9,1.0,9,1.0,10,1.0
287,8,1.0,11,1.0,11,1.0
288,9,1.0,11,1.0,13,1.0
289,10,1.0,10,1.0,8,1.0
290,9,1.0,8,1.0,9,1.0
291,10,1.0,9,1.0,10,1.0
292,10,1.0,9,1.0,10,1.0
293,9,1.0,9,1.0,10,1.0
294,10,1.0,10,1.0,11,1.0
295,10,1.0,10,1.0,9,1.0
296,9,1.0,8,1.0,8,1.0
297,10,1.0,9,1.0,10,1.0
298,9,1.0,9,1.0,9,1.0
299,10,1.0,9,1.0,9,1.0
