,score_2,td_err_2
0,13,1.0
1,33,1.0
2,24,1.0
3,24,1.0
4,31,1.0
5,27,1.0
6,50,1.0
7,10,1.2066482503198686
8,30,1.781010948871455
9,20,1.8568791021496256
10,10,2.31862027939031
11,19,3.4356949806407435
12,19,4.1766014892493635
13,19,3.9994999687460933
14,23,4.756048780237646
15,22,4.950959502965056
16,13,5.374755808406555
17,11,5.548333083007905
18,11,8.086779334197267
19,20,8.203413923483321
20,12,9.182810027437135
21,23,7.117302859932265
22,13,8.060769194065788
23,12,10.6828835058705
24,16,11.141633632461623
25,13,9.981583040780656
26,29,11.688455843266894
27,26,10.814619734415075
28,11,11.941524190822543
29,13,11.632196697098962
30,23,8.701723967122836
31,46,10.44145583719052
32,19,11.683321445547923
33,25,6.922716229920161
34,23,6.278216307200636
35,16,9.289564037133282
36,29,7.9989999374921865
37,21,7.0543603537103206
38,10,7.5752227690015825
39,26,8.259055636088185
40,19,8.426149773176359
41,25,9.52764398999039
42,11,8.999555544581076
43,13,8.792951722828915
44,13,8.638749909564462
45,23,9.460866767902399
46,26,9.912416456142266
47,16,9.586866015544391
48,20,10.580548189956888
49,17,10.079880951677952
50,16,9.857585911367956
51,18,8.78999431171602
52,20,9.382323805966196
53,10,8.697355920048345
54,43,6.895215732665657
55,14,8.98487618167329
56,21,10.278910448097113
57,14,10.301844495040681
58,24,9.799183639467117
59,11,9.119210492142399
60,23,10.747278725333219
61,36,10.998727199089902
62,11,11.012719918348964
63,10,8.770632816393581
64,62,11.254154788343726
65,12,8.675021613805928
66,12,7.807432356415264
67,15,7.369396176078472
68,45,7.159050216334567
69,10,7.607364852562285
70,12,8.320096153290537
71,13,8.790221840204035
72,45,11.330313323116886
73,29,8.755569655939013
74,14,8.342181968765725
75,14,7.346291581471566
76,13,8.867468635411123
77,21,11.129779872037002
78,10,9.341520218893711
79,9,7.279560426289488
80,13,9.258077554222583
81,10,9.894038609182804
82,17,9.159257611837326
83,11,8.337625561273425
84,9,8.849632760742109
85,11,8.250090908590037
86,15,7.452247982991441
87,33,7.829176201874627
88,28,10.358957476503125
89,14,10.085236734950747
90,68,9.855150937453976
91,14,16.913308369446824
92,21,16.33474823803538
93,9,11.973136598235234
94,20,12.121551055867396
95,29,10.068962210674941
96,14,11.15042600083064
97,14,10.626946880454424
98,28,9.469952481401371
99,10,7.007710039663456
100,18,8.022219144351517
101,11,9.080528618973677
102,36,9.459175439751606
103,72,8.399761901387443
104,10,9.220845948176338
105,67,7.818439742045723
106,11,8.769720634090918
107,12,13.130422689312024
108,12,13.806230477577868
109,14,14.001999857163263
110,17,12.367376439649599
111,24,8.572047596694736
112,13,11.502347586471208
113,12,11.723480711802276
114,13,11.397368117245314
115,9,11.576700738984316
116,11,9.692058604857896
117,26,8.061265409351066
118,14,7.991745741701246
119,10,10.277159140540736
120,14,8.7461991744986
121,14,8.039402962907134
122,12,7.307804047728702
123,10,8.09246563168482
124,22,7.57495874576225
125,15,7.686611737300122
126,62,7.3356662955726115
127,26,7.712327793863536
128,147,9.038583959891062
129,19,11.238505238687216
130,9,11.574281835172323
131,38,11.985658096241524
132,10,9.721316783234666
133,18,13.783468358871072
134,37,12.729021957715368
135,33,10.987811429033536
136,27,10.109599398591419
137,19,9.414881836751857
138,51,11.18588396149361
139,73,10.927945827098522
140,60,9.721933963980623
141,22,8.208775791797459
142,32,8.992441270311417
143,65,10.616967551989598
144,25,9.525544603853367
145,111,10.684381123864872
146,10,7.550364229624953
147,9,7.888219063895221
148,11,9.815294188153507
149,42,7.639633499062635
150,43,6.369929355966202
151,52,7.032211600911906
152,9,6.565668282817827
153,58,7.513188404399293
154,65,6.664532991890729
155,72,7.336756776669103
156,28,7.634919776919729
157,86,10.644623055796762
158,51,14.184921571866374
159,71,11.677499732391349
160,15,11.181413148614087
161,35,9.712466216157459
162,22,6.970509307073623
163,58,8.638286867197685
164,25,10.389995187679347
165,58,8.866340846143915
166,9,9.265203721451568
167,36,9.820386957752733
168,27,8.734758153492288
169,35,10.458489374665922
170,9,11.671332400373148
171,22,12.773723028154322
172,36,11.961772443914823
173,22,13.650347980912429
174,52,16.032092814102594
175,37,16.81939356814032
176,93,14.280476182536772
177,9,16.692034028242336
178,36,18.638132953705423
179,25,18.282013018264703
180,72,15.29065073827795
181,34,15.498774145073538
182,52,15.034227615677501
183,25,13.695546721471182
184,14,10.758624447391032
185,25,14.59205263148403
186,21,21.021798210429097
187,25,21.732464195300082
188,76,15.345748596924166
189,31,14.861090134980005
190,9,11.666704761842565
191,15,17.031265366965545
192,9,13.26574536164478
193,82,15.043270920913443
194,28,18.589674553364297
195,32,15.528940723693937
196,17,14.116940178381434
197,16,17.9075403112767
198,25,18.925855330737367
199,10,14.662196288414638
200,26,11.68914025923207
201,23,17.65106229097841
202,17,15.980237795477262
203,28,12.9366147040097
204,30,10.488279172485829
205,34,11.149708516369385
206,28,11.941356706840308
207,49,12.165525060596439
208,37,14.066698262207803
209,41,11.59844817206164
210,10,15.905470756943977
211,9,15.306338556297518
212,37,14.298951010476259
213,8,14.987861755433961
214,18,17.874451040521496
215,9,20.512337750729436
216,10,19.997499843730466
217,10,16.266038239227154
218,24,17.16135192809704
219,10,17.53259821019121
220,36,22.308025461703238
221,23,24.804596348257718
222,21,19.903567519417216
223,29,19.31424344881259
224,28,27.177343505206686
225,43,28.72162948023667
