,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729
0,14,1.0,26,1.0,31,1.0
1,26,1.0,45,1.0,21,1.0
2,34,1.0,11,1.0,25,1.0
3,14,1.0,10,1.0,11,1.0
4,12,1.0,25,1.0,11,1.0
5,15,1.0,23,1.0,18,1.0
6,16,1.0,44,1.0,29,1.0
7,13,1.0,12,1.0,14,1.0
8,25,1.0,15,1.0,21,1.0
9,16,1.0,18,1.0,26,1.0
10,21,1.0,19,1.0,10,1.0
11,23,1.0,20,1.0,18,1.0
12,12,1.0,8,1.0,16,1.0
13,38,1.0,8,1.0,9,1.0
14,20,1.0,58,1.0,13,1.0
15,42,1.0,16,1.0,24,1.0
16,21,1.0,29,1.0,35,1.0
17,14,1.0,40,1.0,20,1.0
18,37,1.0,19,1.0,14,1.0
19,12,1.0,14,1.0,47,1.0
20,45,1.0,11,1.0,21,1.0
21,19,1.0,13,1.0,24,1.0
22,20,1.0,26,1.0,16,1.0
23,9,1.0,17,1.0,39,1.0
24,39,1.0,28,1.0,12,1.0
25,10,1.0,18,1.0,12,1.0
26,12,1.0,16,1.0,14,1.0
27,16,1.0,16,1.0,29,1.0
28,21,1.0,48,1.0,15,1.0
29,36,1.0,27,1.0,18,1.0
30,27,1.0,34,1.0,12,1.0
31,12,1.0,16,1.0,35,1.0
32,13,1.0,17,1.0,26,1.0
33,10,1.0,22,1.0,19,1.0
34,28,1.0,32,1.0,20,1.0
35,13,1.0,24,1.0,22,1.0
36,17,1.0,13,1.0,16,1.0
37,33,1.0,16,1.0,18,1.0
38,10,1.0,19,1.0,22,1.0
39,49,1.0,14,1.0,10,1.0
40,22,1.0,15,1.0,16,1.0
41,15,1.0,27,1.0,16,1.0
42,16,1.0,12,1.0,35,1.0
43,9,1.0,24,1.0,16,1.0
44,55,1.0,15,1.0,26,1.0
45,27,1.0,15,1.0,10,1.0
46,38,1.0,24,1.0,9,1.0
47,25,1.0,16,1.0,20,1.0
48,22,1.0,11,1.0,22,1.0
49,54,1.0,20,1.0,28,1.0
50,31,1.0,14,1.0,16,1.0
51,10,1.0,11,1.0,17,1.0
52,13,1.0,15,1.0,21,1.0
53,10,1.0,12,1.0,17,1.0
54,11,1.0,12,1.0,19,1.0
55,18,1.0,34,1.0,15,1.0
56,21,1.0,24,1.0,26,1.0
57,18,1.0,12,1.0,10,1.0
58,13,1.0,22,1.0,15,1.0411532067856297
59,16,1.0,16,1.0,35,1.1983321743156194
60,21,1.0,16,1.0,26,1.247397290361014
61,10,1.0,41,1.0,13,1.2263767773404712
62,15,1.0,13,1.0,10,1.2066482503198686
63,18,1.0,15,1.0,19,1.247397290361014
64,21,1.0,14,1.0,15,1.5924823389915506
65,10,1.0,23,1.1063453348751464,12,1.6321764610482532
66,10,1.0,14,1.1764352935882194,15,1.6899704139422087
67,18,1.0,20,1.2165525060596438,10,1.6994116628998401
68,15,1.0,15,1.237739875741264,16,1.6994116628998401
69,19,1.0,28,1.245792920191795,10,1.7274258305351347
70,24,1.0,13,1.2601587201618691,16,1.943193248238579
71,13,1.0,11,1.5152557539900648,19,2.240535650240808
72,11,1.0,20,1.6565023392678926,15,2.240535650240808
73,16,1.0,20,2.06881608655772,9,2.1503488089144978
74,20,1.0,20,2.0513410247932935,17,2.002997753368685
75,12,1.0,19,2.055237212586421,14,1.889973544788392
76,20,1.0,20,2.091889098398861,11,1.7854971296532516
77,23,1.0,18,2.1908902300206643,13,1.49130815058458
78,16,1.0,14,1.0639548862616308,10,1.5811388300841898
79,14,1.0,10,1.1117553687749837,32,1.5006665185843255
80,14,1.0,19,1.2099586769803339,12,1.4818906842274164
81,26,1.0,17,1.2790621564255584,25,1.5811388300841898
82,11,1.0825894882179485,16,1.2149074038789953,24,1.5899685531481433
83,10,1.2727922061357855,8,1.3053735097664576,15,1.5658863304850708
84,14,1.2312595177297108,14,1.2633289357883006,26,1.4656056768449008
85,17,1.3401492454200763,15,1.51657508881031,26,1.6161683080669538
86,18,1.3401492454200763,9,1.6923356641044944,12,1.769745744450315
87,9,1.3520355024924458,28,1.39427400463467,10,2.0909328061896204
88,10,1.3827508813954883,10,1.499333185119305,13,1.9193748982416126
89,10,1.4436065946094871,54,1.7123083834403194,13,1.7753872816937717
90,17,1.5722595205626837,23,1.8942016788082519,13,2.1137644144984558
91,12,1.6935170504013237,11,1.9798989873223332,16,2.246775467197379
92,42,1.6733200530681511,20,2.219909908081857,11,2.7473623714391957
93,11,1.7146428199482247,19,2.2190087877248255,13,3.7560617673302445
94,13,2.103330692021585,16,2.7727242920997393,10,3.4842502780368694
95,44,2.026820169625317,11,2.558906016249913,19,3.0757112998459397
96,14,2.239642828667107,23,2.8488594208911047,11,3.673690242794022
97,21,2.4843510218968654,16,2.900344807087599,42,4.930314391598166
98,14,2.9966648127543394,13,3.4374409085830115,13,3.9491771294790006
99,66,3.3935232428848927,15,3.4409301068170506,28,3.7592552453910337
100,63,2.6705804612480786,10,3.054177467011372,13,4.228474902373195
