,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729,score_4027,td_err_4027,score_10069,td_err_10069
0,17,0.0,40,0.0,24,0.0,39,0.0,14,0.0
1,23,0.0,20,0.0,10,0.0,9,0.0,39,0.0
2,10,0.0,25,0.0,31,0.0,18,0.0,23,0.0
3,13,0.0,31,0.0,14,0.0,17,0.0,13,0.0
4,16,0.0,13,0.0,23,0.0,28,0.0,38,0.0
5,15,0.0,28,0.0,24,0.0,48,0.0,14,0.0
6,15,0.0,11,0.0,30,0.0,31,0.0,37,0.0
7,24,0.0,32,0.0,14,0.0,28,0.0,15,0.0
8,10,0.0,20,0.0,35,0.0,16,0.0,25,0.0
9,11,0.0,10,0.0,23,0.0,53,0.0,54,0.0
10,17,0.0,64,0.0,16,0.0,10,0.0,17,0.0
11,51,0.0,39,1.0094057657849989,37,0.0,27,1.0092076099594174,12,1.0092076099594174
12,28,0.0,10,1.0092076099594174,30,1.009141549370883,18,1.0092076099594174,16,1.0092076099594174
13,19,0.0,11,1.009141549370883,12,1.0090754844575966,14,1.0092076099594176,32,1.0090754844575966
14,45,1.009141549370883,15,1.0092076099594176,15,1.0092736662240491,25,1.0092736662240491,27,1.0092736662240491
15,12,1.009141549370883,42,1.009141549370883,23,1.0089433416533689,32,1.009141549370883,23,1.0092736662240491
16,22,1.0090094152187083,12,1.0094057657849989,36,1.0090094152187083,25,1.0092076099594174,13,1.0090094152187083
17,11,1.009141549370883,14,1.0090754844575966,26,1.0090754844575966,24,1.0093397181656267,51,1.0090754844575966
18,11,1.0089433416533689,9,1.0092736662240491,54,1.0094718090830141,12,1.0094057657849989,24,1.0089433416533689
19,48,1.0090754844575966,11,1.0092736662240491,21,1.008877263760728,12,1.0090754844575966,13,1.009141549370883
20,67,1.0090094152187083,15,1.009141549370883,22,1.0090094152187083,21,1.0090754844575966,24,1.009141549370883
21,33,1.0092076099594174,11,1.0094057657849989,19,1.009141549370883,20,1.0092076099594174,16,1.0092736662240491
22,18,1.0090754844575966,34,1.0090754844575966,11,1.0092076099594174,12,1.0093397181656267,19,1.0092736662240491
23,24,1.0092736662240491,11,1.0092076099594174,11,1.0090754844575966,11,1.0092076099594174,31,1.0090754844575966
24,9,1.0092076099594174,20,1.0089433416533689,19,1.0092076099594174,14,1.0090754844575966,82,1.0092076099594174
25,26,1.0092076099594174,38,1.0089433416533689,16,1.0096038827183658,26,1.00874509499014,11,1.0093397181656267
26,11,1.0090754844575966,40,1.0090754844575966,11,1.0096699130573978,18,1.0093397181656267,8,1.0095378480605206
27,15,1.0090094152187083,11,1.0092076099594174,22,1.0090754844575966,12,1.0092736662240491,20,1.0092076099594176
28,9,1.0088772637607277,10,1.0093397181656265,14,1.0090094152187083,75,1.0090754844575966,15,1.0092736662240491
29,9,1.009141549370883,21,1.009141549370883,12,1.0092736662240491,44,1.0094057657849989,12,1.0095378480605206
30,20,1.0092076099594176,12,1.0092076099594176,28,1.0093397181656267,11,1.009273666224049,17,1.0096038827183658
31,11,1.0090754844575966,26,1.0090094152187083,25,1.0090094152187083,13,1.0092076099594174,21,1.0090094152187083
32,14,1.009141549370883,22,1.0090754844575966,29,1.009141549370883,22,1.009141549370883,46,1.0092736662240491
33,19,1.0093397181656267,12,1.0090094152187083,23,1.0092076099594174,23,1.0092736662240491,18,1.0094057657849989
