,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729
0,12,0.0,20,0.0,28,0.0
1,14,0.0,20,0.0,11,0.0
2,23,0.0,19,0.0,22,0.0
3,11,0.0,24,0.0,18,0.0
4,19,0.0,9,0.0,18,0.0
5,15,0.0,31,0.0,25,0.0
6,13,0.0,26,0.0,27,0.0
7,13,0.0,22,0.0,18,0.0
8,17,0.0,53,0.0,14,0.0
9,10,0.0,12,0.0,12,0.0
10,28,0.0,14,0.0,29,0.0
11,20,0.0,13,0.0,16,0.0
12,25,0.0,20,0.0,14,0.0
13,24,0.0,15,0.0,16,0.0
14,12,0.0,16,1.0,12,0.0
15,12,0.0,22,1.0,20,1.0
16,20,0.0,26,1.0,34,1.0
17,14,1.0,23,1.0,16,1.0
18,16,1.0,28,1.0,11,1.0
19,10,1.0,14,1.0,39,1.0
20,11,1.0,27,1.0,19,1.0
21,18,1.0,13,1.0,29,1.0
22,18,1.0,12,1.0,16,1.0
23,63,1.0,18,1.0,13,1.0
24,11,1.0,12,1.0,13,1.0
25,10,1.0,24,1.0,16,1.0
26,13,1.0,11,1.0,14,1.0
27,29,1.0,36,1.0,12,1.0
28,22,1.0,24,1.0,26,1.0
29,13,1.0,34,1.0,18,1.0
30,14,1.0,48,1.0,25,1.0
31,20,1.0,41,1.0,15,1.0
32,10,1.0,14,1.0,19,1.0
33,37,1.0,18,1.0,46,1.0
34,33,1.0,35,1.0,13,1.0
35,13,1.0,22,1.0,16,1.0
36,16,1.0,24,1.0,12,1.0
37,22,1.0,24,1.0,16,1.0
38,10,1.0,15,1.0,22,1.0
39,11,1.0,31,1.0270400965882491,26,1.0
40,14,1.0,14,1.04881212807633,19,1.0
41,15,1.0,12,1.0869979944783708,12,1.0
42,10,1.0,13,1.0487610213961995,30,1.0
43,21,1.0,34,1.0579407166755612,13,1.0
44,16,1.0,10,1.0889784570871914,12,1.0
45,12,1.0280624883731533,10,1.1273205045593733,14,1.0
46,22,1.0228355097472908,12,1.143334491738966,8,1.0
47,42,1.0301562599916578,25,1.1363514245162014,13,1.0
48,13,1.0337971948114388,11,1.151853740715374,16,1.0
49,16,1.0228355097472908,15,1.1894264836466355,11,1.0
50,13,1.0431085849517296,25,1.406572628768241,13,1.0972700670299906
51,14,1.0487610213961998,14,1.2403619471750977,17,1.1983158848984685
52,14,1.0426305961365223,15,1.2009297065190785,20,1.1848210666594345
53,23,1.0695751679989582,34,1.316512483799527,13,1.2318760976656702
54,22,1.2121601874339876,17,1.476781310824321,12,1.1715963127289195
55,14,1.2165740092571433,23,1.4551101676505458,15,1.1572668490888347
56,19,1.188917154388816,36,1.4177582304469263,12,1.1305537758107749
57,28,1.1484937614110056,41,1.4135441415109753,12,1.2471193687855224
58,10,1.1152984891947086,20,1.8245563186703773,16,1.3781162215139913
59,35,1.210970123496034,23,1.6627337489808762,14,1.402756771503884
60,19,1.33137456788088,63,1.813414856010615,10,1.70952994709072
61,10,1.2101465696352653,17,1.8771641590441683,14,1.6457683919677153
62,27,1.326966947591386,10,1.7992189861159202,30,1.472324801122361
63,13,1.51708515252111,24,1.7905079502755634,11,1.4484127588501836
64,13,1.857663478674219,13,1.6608371864815648,12,1.55233511845864
65,20,1.9956489871718421,54,1.6452928250010694,14,1.9124167746597496
66,24,2.2277121896690333,16,1.8508733938333004,11,2.0746937701742874
67,11,1.7597726671362979,10,2.031658199599529,30,1.798268411555961
68,16,1.938608366844629,13,1.8046149284542672,13,2.312694809091766
69,24,1.8889767812231042,41,2.0476620424279,17,2.5833483388811507
70,25,2.2651439159576596,13,2.1920309486866283,13,2.129278412984079
71,32,2.5828316553736133,13,2.7085431656150503,69,1.9268607837620235
72,15,2.0175420689542016,13,3.2015032968903845,16,2.176278474828072
73,10,2.5475733708766857,18,3.0722359805197255,9,2.5490961849251588
74,17,2.841270870578868,13,3.9017770515497165,14,2.4474518667381386
75,14,2.7730014929675026,18,3.374666916897133,10,3.122295847609576
76,29,2.2551859524216624,24,4.112808130705832,12,3.0561324578623874
77,14,2.604882431128131,30,5.0481390789081875,13,3.3846853679478097
78,13,2.942778251924531,15,4.862191686883601,13,3.659967824995187
79,10,2.7105727807974462,17,4.933074189590098,11,4.260956700085088
