,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729,score_4027,td_err_4027,score_10069,td_err_10069
0,20,0.0,16,0.0,34,0.0,14,0.0,14,0.0
1,39,0.0,17,0.0,51,0.0,27,0.0,22,0.0
2,23,0.0,52,0.0,10,0.0,27,0.0,12,0.0
3,13,0.0,22,0.0,28,0.0,54,0.0,64,0.0
4,10,0.0,18,0.0,57,0.0,15,0.0,14,0.0
5,14,0.0,24,0.0,10,0.0,73,0.0,20,0.0
6,35,0.0,24,0.0,20,0.0,20,0.0,30,0.0
7,19,0.0,25,0.0,16,0.0,19,0.0,22,0.0
8,15,0.0,33,0.0,21,0.0,14,0.0,35,0.0
9,41,0.0,25,0.0,30,0.0,16,0.0,37,0.0
10,20,0.0,18,0.0,16,0.0,12,0.0,16,0.0
11,20,0.0,13,0.0,50,1.0,22,1.0,15,1.0
12,23,0.0,15,1.0,26,1.0,15,1.0,44,1.0
13,13,1.0,19,1.0,43,1.0,21,1.0,29,1.0
14,25,1.0,27,1.0,15,1.0,15,1.0,28,0.9983960737102284
15,15,1.0074866947012253,14,1.0,15,1.0332630255651267,15,1.010169807507629,10,1.021807888010266
16,16,1.0207267215077698,17,1.0,17,1.0604456421712525,25,1.186218124966905,11,1.044695170851287
17,26,1.0884713684796674,10,1.0358793752170181,33,1.1070934919870137,22,1.2735128739043042,15,1.119107858966239
18,17,1.369795079564823,17,1.3886588637962891,16,1.2175252933717642,68,1.488480083843919,40,1.513370860033984
19,10,1.3792009280739335,14,2.2751525311503844,19,1.5349038797266754,13,1.6481474205907674,24,1.9515160465648238
20,18,1.5209066769529287,18,2.3007908901071388,11,2.1917864129517732,33,2.1775637395952385,18,1.841682057250925
21,55,1.4790951287865157,17,2.8642177850156574,44,2.548984739067694,26,2.438478181161357,13,2.760766154530296
22,15,2.3231653923042157,27,2.518256380911205,10,2.8526180256038485,17,3.061725631078003,15,3.403843427656448
23,38,3.382667255288347,32,3.3647476695883154,38,3.4517112741363523,19,3.9098846427995806,39,4.322367999141211
24,26,3.991983146257008,20,3.6504699752223684,18,5.29980052454807,24,4.322144782396814,12,5.435959352313076
25,11,4.678210991394039,50,6.4316213072599355,18,6.273091665199864,21,6.016143708389952,15,7.922359739370588
26,17,6.182435545964067,18,6.745683917884087,33,5.472090540186629,14,7.269622317562309,19,10.029256770070251
27,19,7.6157173792099195,11,8.262917412149294,16,6.622056695619571,16,9.015760937380715,47,8.050067418351228
28,9,7.148804700087981,16,9.537747029566258,17,6.7228805968870216,10,9.038669388798331,14,9.8746763714058
29,14,6.756242802031317,9,10.924679297810075,11,7.088281529397658,23,9.051537982022724,13,10.905254579330094
30,20,6.75963665295702,19,8.428910221375002,35,6.520219652741769,15,7.485756095412139,12,8.24808172607425
31,24,7.847723919710734,14,8.75397488687282,38,5.753373619016934,11,7.976788566835653,11,8.086314324833038
32,25,9.444420261720673,26,10.425542195972351,14,7.082630629928403,13,6.483308340654484,25,9.087369405939214
33,24,9.65672804214761,55,9.70683868620469,22,6.080342371939264,20,8.755855037630534,19,9.211711832227493
34,31,10.06868214614008,10,9.982311563961526,14,6.444862623826825,13,9.909969832446514,22,8.530154071293204
35,32,9.381212254287822,14,10.382995590868756,59,6.945985672314621,11,7.837533765158527,24,8.5266823090813
