,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729
0,27,0.0,15,0.0,29,0.0
1,22,0.0,15,0.0,10,0.0
2,13,0.0,39,0.0,21,0.0
3,21,0.0,31,0.0,23,0.0
4,10,0.0,11,0.0,16,0.0
5,21,0.0,14,0.0,19,0.0
6,19,0.0,19,0.0,10,0.0
7,12,0.0,28,0.0,15,0.0
8,23,0.0,26,0.0,19,0.0
9,10,0.0,29,0.0,40,0.0
10,26,0.0,10,0.0,26,0.0
11,45,0.0,26,0.0,16,0.0
12,22,0.0,27,0.0,52,0.0
13,32,1.0,16,1.0,23,1.0
14,24,1.0,18,1.0,29,1.0
15,15,1.0,15,1.0,39,1.0
16,11,1.0,25,1.0,15,1.0
17,20,1.0,15,1.0,35,1.0
18,14,1.0,11,1.0,27,1.0
19,24,1.0,12,1.0,12,1.0
20,37,1.0,22,1.0,26,1.0
21,13,1.0,28,1.0,27,1.0
22,19,1.0,19,1.0,19,1.0005519276879138
23,20,1.0,13,1.0,12,1.0133378508671231
24,34,1.0,14,1.0,19,1.0
25,15,1.0,15,1.0,18,1.0
26,19,1.0,15,1.0,9,1.038969027449808
27,11,1.1807107689862069,23,1.0096231376112574,48,1.0244011714167454
28,18,1.3183229953239837,10,1.0123005877702531,21,1.189291284757439
29,9,1.2500856930626796,27,1.0270400965882491,16,1.250042815266741
30,20,1.1835129403601805,17,1.0380606533338983,25,1.3741823459788733
31,15,1.5978968677608703,17,1.2622634907181622,14,1.5165444932477254
32,21,2.011760781007523,26,1.5927395267274558,57,1.716079718428022
33,27,1.893599112800806,21,1.4386807846078993,16,1.769277457042846
34,22,2.1329379175212764,18,1.4626676450923497,49,1.9960491376717155
35,41,2.456608784483195,24,1.7965059866307154,28,2.330803500941253
36,21,2.5159779013337933,14,2.060500482892445,15,1.9605205431211377
37,19,2.917527199530452,13,2.1622909332464952,33,2.5527396733705534
38,47,2.9316594072299735,26,2.9892524282837005,15,2.760238018722298
39,18,2.4966599768490703,35,2.922611736101804,23,3.2017644635419393
40,20,3.2840787323083473,51,3.1176556320414863,17,3.6852004775859886
41,19,3.5934852163324678,23,3.3105364882447677,14,4.642977510175986
42,25,5.63183543793673,27,4.049932009305835,21,5.961766463054385
43,13,5.597280525398026,19,4.173626643579897,12,4.777187959458995
44,26,5.389848472823703,18,5.396383099817877,13,6.143807431878053
45,12,4.765345166931772,28,6.35779578155826,13,5.727634806794161
46,13,4.908555160126043,27,8.860432359653787,17,7.598755024344449
47,13,5.081968626428148,22,7.2196901983395385,16,7.3458145579642835
48,22,6.232654689616616,12,6.983336646618149,28,8.947770949236464
49,11,7.529505641142717,11,7.78013752063548,25,8.576911565359643
50,18,8.073548394603206,15,5.845916906696502,26,8.580498558941665
51,12,7.511024271029884,12,8.35627752530994,47,10.178774228756623
52,27,7.261535374836372,11,8.512390714716988,13,9.85279727184113
