,score_2,reward_2,td_err_2,score_131,reward_131,td_err_131,score_1729,reward_1729,td_err_1729,score_4027,reward_4027,td_err_4027,score_10069,reward_10069,td_err_10069
0,200,-200.0,0.0,200,-200.0,0.0,200,-200.0,0.0,200,-200.0,0.0,200,-200.0,0.0
1,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
2,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
3,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
4,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
5,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
6,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
7,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
8,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
9,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
10,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
11,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
12,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794,200,-200.0,0.9913397967485794
