decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,min_score,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,1000,-1,,,"[0, 2]",160,16,80,5,0,0.0,20211119_195130,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,1000,-1,,,"[0, 2]",160,2,80,5,0,0.0,20211120_113317,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,1000,-1,,,"[0, 2]",160,2,80,5,0,0.0,20211120_131358,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,1000,-1,,,"[0, 2]",160,2,80,5,0,0.0,20211120_145553,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,1000,-1,,,"[0, 2]",160,2,80,5000,0,0.0,20211120_202047,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,1000,-1,,,"[0, 2]",160,2,80,5000,0,0.0,20211120_220223,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,1000,-1,,,"[0, 2]",160,2,80,5000,0,0.0,20211120_234159,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.98,10000,300,1000,-1,,,"[0, 2]",2000,2,1000,5,0,0.0,20211122_194439,16,True,False,U
